outlet_title,average_rating,total_reviews,city,state,country_code,pincode,phone,street_address,latitude,longitude,google_maps_url,is_active
Barbeque Nation- Porur,3.8,6053,"Greater Chennai, Chennai",Tamil Nadu,IN,600116,+91 80 6902 8724,"2nd Floor, Survey No 38/1, Mount Poonamallee Rd",13.0289265,80.1701981,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation-%20Porur&query_place_id=ChIJfXIpNTlhUjoRxUkcnjmtaI8,True
Barbeque Nation - Ahmedabad - Sky Forest,4.6,3079,Ahmedabad,Gujarat,IN,382428,+91 80 6902 8770,"204 - 207, 2nd Floor, Saral Xperia, Sky forest Building Near Bhat Circle, Sardar Patel Ring Rd",23.1169622,72.628732,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Ahmedabad%20-%20Sky%20Forest&query_place_id=ChIJW4lk0EiBXjkRnR58FgGMsXk,True
Barbeque Nation,4.3,7039,Vijayawada,Andhra Pradesh,IN,520010,+91 80 6902 8745,"Fortune Murali Park, CPR Hotel, 3rd Floor, LEPL, Centro Mall, 40-1-147, MG Rd",16.5003901,80.6458419,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJv58o7br6NToROPPDiCZ-HTU,True
Barbeque Nation - Anand - Maruti Solaris,4.6,1794,Anand,Gujarat,IN,388120,+91 80 6902 8770,"2ndFloor, MARUTI SOLARIS, Anand - Sojitra Rd",22.5417416,72.9460826,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Anand%20-%20Maruti%20Solaris&query_place_id=ChIJs_k3s91NXjkRS0cUFxV9jBM,True
Barbeque Nation,4.2,9032,Bengaluru,Karnataka,IN,560010,+91 80 6902 8721,"18/19/20, West Gate Mall, Ground Floor, Dr Rajkumar Rd",12.9830627,77.5596095,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJZU8k2vU9rjsRK9gXANkis7k,True
Barbeque Nation - Nagpur - Eternity Mall,4.4,5903,Nagpur,Maharashtra,IN,440012,+91 80 6902 8737,"2nd Floor Eternity Mall, Amravati Rd",21.1433734,79.0800933,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Nagpur%20-%20Eternity%20Mall&query_place_id=ChIJG4yuQZPA1DsRKxYcRB5Cjxo,True
Barbeque Nation - Koramangala,4.1,15727,Bengaluru,Karnataka,IN,560034,+91 80 6405 8001,"86, 1st Cross Rd",12.9255589,77.6371116,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Koramangala&query_place_id=ChIJ3wP-ImIUrjsRnZ7Rr7BisQI,True
"Barbeque Nation - Nexus Centre City Mall, Mysuru",3.9,658,Mysuru,Karnataka,IN,570019,N/A,"Nexus Centre City Mall, No-8, Old-5, Abba Road, Also, Hyderali Rd",12.3180417,76.6655632,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Nexus%20Centre%20City%20Mall%2C%20Mysuru&query_place_id=ChIJq-n4NHhxrzsRqdq6rnaHmNA,True
Barbeque Nation - Mangalore - Makmall,4.4,5599,Mangaluru,Karnataka,IN,575002,+91 80 6902 8761,"3rd Floor, Mak Mall, Father Muller's Rd",12.86893,74.858125,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Mangalore%20-%20Makmall&query_place_id=ChIJY96VoDNaozsRVmSewjbbvKk,True
"Barbeque Nation - Lulu Mall, Thiruvananthapuram",4.2,767,Thiruvananthapuram,Kerala,IN,695029,+91 80 6902 8739,"2nd floor, Barbeque Nation Hospitallity Limited, Lulu International Shopping Mall, TC 91, Akkulam Bridge",8.5153621,76.8976919,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Lulu%20Mall%2C%20Thiruvananthapuram&query_place_id=ChIJiWfiida9BTsRPwNqvbhCWXQ,True
Barbeque Nation Nexus Shantiniketan Mall,4.4,1539,Bengaluru,Karnataka,IN,560048,+91 80 6405 8001,"2nd Floor, Nexus, Forum Mall Whitefield, Whitefield Main Rd",12.9896257,77.728109,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20Nexus%20Shantiniketan%20Mall&query_place_id=ChIJqe-dMJoRrjsR7ZTs1d6lXMk,True
Barbeque Nation Phoenix Marketcity,3.8,1856,Bengaluru,Karnataka,IN,560048,+91 80 6902 8722,"1st floor, Phoenix Marketcity, Whitefield Main Rd",12.9977512,77.6964375,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20Phoenix%20Marketcity&query_place_id=ChIJIxUu-EURrjsRxKpt9f78SvM,True
Barbeque Nation - Kalyan Nagar,4.0,11338,Bengaluru,Karnataka,IN,560043,+91 80 6902 8722,"BR Plaza, 30, CMR Main Rd",13.0215187,77.6404391,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Kalyan%20Nagar&query_place_id=ChIJsxorwCUXrjsRaTXkIXLIjII,True
"Barbeque Nation - Town Hall, Coimbatore",4.3,9708,Coimbatore,Tamil Nadu,IN,641001,+91 80 6902 8740,"#1000, Hotel Metro Park Inn, 1000, Raja St",10.994333,76.963316,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Town%20Hall%2C%20Coimbatore&query_place_id=ChIJsSPFhwtZqDsRClmxH55kDXE,True
Barbeque Nation- Yelahanka,4.3,9436,Bengaluru,Karnataka,IN,560064,+91 80 6405 8001,"Prestige Plaza, 1st Floor, New Town Main Rd, next to KMF Mother Dairy",13.0983675,77.5734496,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation-%20Yelahanka&query_place_id=ChIJ7xgSLWMYrjsR3uZJjnDTyF0,True
Barbeque Nation Marathahalli,4.1,1739,Bengaluru,Karnataka,IN,560037,+91 80 6405 8001,"3rd floor, More Mega mall, Outer Ring Rd, near Innovative Multiplex",12.9482032,77.6984963,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20Marathahalli&query_place_id=ChIJ9_G0_64VrjsRHHqhcFPBiNY,True
Barbeque Nation - Kakkanad,4.2,1434,"Kochi, Kakkanad",Kerala,IN,682037,+91 80 6902 8706,"3rd floor, Mather Esperanza, Seaport - Airport Rd",9.9996888,76.3495671,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Kakkanad&query_place_id=ChIJMdVYqQANCDsR9xXNA_CK9IY,True
"Barbeque Nation - Caculo Mall, Panaji",4.3,5247,Panaji,Goa,IN,403001,+91 80 6902 8746,"Shanta Building, 5th Floor, Caculo Mall, 16, 16, St Inez Rd, near Vintage Hospital",15.4865957,73.8178498,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Caculo%20Mall%2C%20Panaji&query_place_id=ChIJ3TScUevAvzsRytzOAL1tC4U,True
Barbeque Nation - Pune - Westend Mall,4.2,1595,Pune,Maharashtra,IN,411067,+91 80 6902 8725,"Westend Mall, Mahadji Shinde Rd, near Parihar Chowk",18.5615611,73.8070209,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Pune%20-%20Westend%20Mall&query_place_id=ChIJcbaFGTO_wjsRMZs7TfL0SCY,True
Barbeque Nation - Hebbal,4.1,1449,Bengaluru,Karnataka,IN,560024,+91 80 6405 8001,"Unit No.D2, Godrej Woodsman Estate Rmz Azure (It Complex), Bellary Rd, next to Godrej Apartments",13.0551947,77.5942807,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Hebbal&query_place_id=ChIJTRYvngsXrjsR19TZa3VhYd0,True
Barbeque Nation - Bhartiya Mall of Bengaluru,4.0,1293,Bengaluru,Karnataka,IN,560064,+91 80 6405 8001,"1st Floor, Bhartiya City, Thanisandra Main Rd",13.0835239,77.643798,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Bhartiya%20Mall%20of%20Bengaluru&query_place_id=ChIJ5Woqc6wZrjsRllO5cUTnuxw,True
Barbeque Nation,4.3,3667,Udupi,Karnataka,IN,576104,+91 80 6902 8783,"Ground Floor, Central Cinemas, Laxmindra Nagar, Udupi, Main Rd",13.3493864,74.7827996,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJL8WffaukvDsR2yKT5zqJZ3g,True
Barbeque Nation- Pune - Hinjawadi,4.4,2943,Hinjawadi,Maharashtra,IN,411057,+91 80 6902 8725,"1st Floor, Grand Highstreet Mall, 1 Road",18.5939187,73.7255158,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation-%20Pune%20-%20Hinjawadi&query_place_id=ChIJ0actGZO7wjsRvcpGc8dcBAs,True
Barbeque Nation - Guwahati Udeshna,4.2,1119,Guwahati,Assam,IN,781006,+91 80 6902 8750,"4QQX+QC7 Udeshna building, Hari Mandir Path",26.1394011,91.7985559,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Guwahati%20Udeshna&query_place_id=ChIJ82NsWaRZWjcRvSIoRmSg2h0,True
"Barbeque Nation - Sachivalaya Marg, Bhubaneshwar",4.4,13610,Bhubaneswar,Odisha,IN,751013,+91 80 6902 8768,"NALCO CHOWK, 3RD FLOOR, Triplex Mall, Sachivalaya Marg, MAUZA- SAMANTAPURI GAJAPATI NAGAR, near Gagan Awas Appartment",20.3142204,85.8244559,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Sachivalaya%20Marg%2C%20Bhubaneshwar&query_place_id=ChIJxedo9LwJGToR7ELyMgJ43Uw,True
"Barbeque Nation- Park Street, Kolkata",4.5,22972,Kolkata,West Bengal,IN,700016,+91 80 6902 8723,"Park Center Garmin (Khadi), 1st Floor,, 24, Park St",22.5510199,88.353816,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation-%20Park%20Street%2C%20Kolkata&query_place_id=ChIJb93BuRp3AjoRqdxyBozdusM,True
Barbeque Nation - Behala,4.8,870,Kolkata,West Bengal,IN,700034,+91 80 6902 8723,"1st Floor, opposite M P Birla Foundation Higher Secondary School",22.4930693,88.3185562,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Behala&query_place_id=ChIJ-VdpyJF7AjoR1Ud6WSO5KDI,True
Barbeque Nation - Bilaspur,4.5,2252,"Masanganj, Telipara",Chhattisgarh,IN,495001,+91 80 6902 8769,Magarpara Rd,22.078557,82.1503852,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Bilaspur&query_place_id=ChIJHfymdLcLKDoRZQMLoNDvyDY,True
Barbeque Nation - Vadapalani,3.9,9822,"Chennai, Greater Chennai",Tamil Nadu,IN,600026,+91 80 6902 8724,"No 1, 2nd Floor, Hotel Bheemas Amman Koil St, Jawaharlal Nehru Salai, near Murugan Temple",13.0525083,80.2123788,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Vadapalani&query_place_id=ChIJoxm2LepmUjoR8RHioVGpdFY,True
Barbeque Nation- OMR Thoraipakkam,4.1,11826,"Chennai, Greater Chennai",Tamil Nadu,IN,600097,+91 80 6902 8724,"Ground Floor, Ramaniyam Isha Blk 1,Thoraipakkam, 11, Rajiv Gandhi Salai",12.9438704,80.2379882,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation-%20OMR%20Thoraipakkam&query_place_id=ChIJSd8n_P1cUjoRczF_vawgp7I,True
Barbeque Nation - Chandan Nagar,4.5,376,"Chandannagar, Chinsurah",West Bengal,IN,712136,+91 80 6902 8721,"Ward No. 10, ACASA building, 3rd Floor, Rash Behari Ave",22.8644164,88.365354,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Chandan%20Nagar&query_place_id=ChIJFwjACtWR-DkRDLuJ9Fl7vIU,True
"Barbeque Nation- Salt Lake, Kolkata",4.5,16523,Kolkata,West Bengal,IN,700091,+91 80 6902 8723,"RDB Boulevard, K-1, Street Number 25",22.5690352,88.4331475,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation-%20Salt%20Lake%2C%20Kolkata&query_place_id=ChIJIRC6w611AjoRyNBbBqrcvA4,True
Barbeque Nation,4.4,8553,"Labhandih, Raipur",Chhattisgarh,IN,492001,+91 80 6902 8786,"Unit SFPH 02 - 03, Great Eastern Rd",21.2406207,81.684218,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJ6TDQyDbdKDoR5jLxhAPrPAA,True
Barbeque Nation,4.5,11752,Guwahati,Assam,IN,781007,+91 80 6902 8750,"2nd Floor, Adityam Building, GS Rd",26.17233,91.7599133,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJ7YPZ6oJZWjcRb5nYTnJ4Wsw,True
Barbeque Nation Sodepur,4.3,1115,Khardaha,West Bengal,IN,700114,+91 80 6902 8723,N/A,22.7013927,88.3744979,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20Sodepur&query_place_id=ChIJA3pQlU6d-DkRpIxVyHATSlo,True
Barbeque Nation - Durgapur,4.5,6078,Durgapur,West Bengal,IN,713216,+91 80 6902 8735,"First floor, Pushpanjali Building, Shahid Khudiram Sarani",23.5383091,87.2938036,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Durgapur&query_place_id=ChIJU_1Dqr1z9zkRtEubBng5E08,True
Barbeque Nation-Rajarhat,4.5,3204,Unknown,West Bengal,IN,700136,+91 80 6902 8723,N/A,22.623189,88.4504015,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation-Rajarhat&query_place_id=ChIJt6OEQyOf-DkR_Jx3jwHUITg,True
Barbeque Nation - Kolkata - Acropolis Mall,4.5,1118,Kolkata,West Bengal,IN,700107,+91 80 6902 8723,"Acropolis Mall, 1858/1",22.5152494,88.3932272,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Kolkata%20-%20Acropolis%20Mall&query_place_id=ChIJ2R3KaI9zAjoR7qPbfF1nSFo,True
"Barbeque Nation - River Side Mall, Lucknow",4.4,7081,Lucknow,Uttar Pradesh,IN,226010,+91 80 6902 8749,"RiverSide Mall, 3rd floor, Gomti Nagar Ext Bypass Rd",26.852979,80.9735546,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20River%20Side%20Mall%2C%20Lucknow&query_place_id=ChIJAQBArTv9mzkRAfGAlUzHEVw,True
"Barbeque Nation, Siliguri",4.4,5078,Siliguri,West Bengal,IN,734001,+91 80 6902 8751,"2nd Floor, PRM Sevoke 1, Sevoke Rd",26.7355392,88.433214,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%2C%20Siliguri&query_place_id=ChIJJ9bBAZFB5DkRCiV6t5indE4,True
Barbeque Nation - Barasat,4.3,1712,Kolkata,West Bengal,IN,700124,+91 80 6902 8723,"N-19, Jessore Rd",22.7113379,88.477154,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Barasat&query_place_id=ChIJX8QTFfCZ-DkRdIFpL0_JvYo,True
Barbeque Nation,4.4,5107,Prayagraj,Uttar Pradesh,IN,211001,+91 80 6902 8710,"5th Floor, P Square Mall, Mahatma Gandhi Marg",25.4493688,81.8394706,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJ6zp7bcbKmjkRBFUuR1FfrfI,True
Barbeque Nation- Sarjapur Road,4.1,6558,Bengaluru,Karnataka,IN,560035,+91 80 6405 8001,"3rd Floor, Ashrith, Aries 53, 1, Sarjapur Main Rd, opposite HP Petrol Pump",12.9092597,77.6876436,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation-%20Sarjapur%20Road&query_place_id=ChIJTaPb6esTrjsR7oWu5bRlclE,True
Barbeque Nation - Nellore - NVR Central,4.1,4019,Nellore,Andhra Pradesh,IN,524003,+91 80 6902 8784,"4th Floor, NVR Central, Grand Trunk Road, above Dr. Agarwal Eye Hospital",14.433866,79.968537,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Nellore%20-%20NVR%20Central&query_place_id=ChIJpXvXvijzTDoRcklrzv4Buxc,True
Barbeque Nation - Varanasi,4.4,5436,Varanasi,Uttar Pradesh,IN,221002,+91 80 6902 8709,"3rd Floor, JHV Mall, The Mall Rd, near Ramada Hotel",25.3356311,82.9776407,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Varanasi&query_place_id=ChIJAQDA-MMtjjkR38ZxjhKaFKY,True
Barbeque Nation - Aliganj,4.3,1638,Lucknow,Uttar Pradesh,IN,226024,+91 80 6902 8749,"Plot no.5, 3rd floor, STW infinity, opposite Kendriya Bhawan, near purania chauraha",26.8930059,80.9436202,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Aliganj&query_place_id=ChIJEzyTCdNXmTkRKnvroCs4_OM,True
Barbeque Nation,4.1,554,"Lucknow, Hariharpur",Uttar Pradesh,IN,226030,+91 80 6902 8749,"3rd Floor, Tahsil, Lulu Mall, Amar Shaheed Path",26.7836087,80.9911365,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJ53QUdhDlmzkRiZ3TG_o7Mbs,True
"Fiesta By Barbeque Nation - Swaroop Nagar, Kanpur",4.4,1121,Kanpur,Uttar Pradesh,IN,208002,+91 80 6902 6714,"112/369, 2nd Floor, Prabhu Krishna Shopping Complex, near Prakhar Hospital",26.4819279,80.3209542,https://www.google.com/maps/search/?api=1&query=Fiesta%20By%20Barbeque%20Nation%20-%20Swaroop%20Nagar%2C%20Kanpur&query_place_id=ChIJdx-TwWA5nDkRZHlLLGA9GCE,True
"Barbeque Nation - Rohtas Summit, Lucknow",4.3,3505,Lucknow,Uttar Pradesh,IN,226010,+91 80 6902 8749,"Building Name "" Rohtas Summit"" Third Floor, B-04 to 307, Padera - Harchandpur Rd",26.8652412,81.0120408,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Rohtas%20Summit%2C%20Lucknow&query_place_id=ChIJjebUezzjmzkRA1edAqZLj64,True
Barbeque Nation - Kochi - LuLu Mall,4.2,908,"Kochi, Ernakulam",Kerala,IN,682024,+91 80 6902 8706,"Lulu Mall, 3rd floor 34/1000, 47, Old NH17",10.0260086,76.3082903,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Kochi%20-%20LuLu%20Mall&query_place_id=ChIJ1YSnGRUNCDsRjVSpHO0z0GU,True
Barbeque Nation- Puducherry,4.1,4828,Puducherry,Puducherry,IN,605001,+91 80 6902 8747,"4th Floor, WRHH+R95 Naga Progress Avenue, 120, Bussy St",11.9295489,79.8284385,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation-%20Puducherry&query_place_id=ChIJA8rG94BhUzoRS_Hf2s1beqw,True
Barbeque Nation,4.3,5026,Tiruchirappalli,Tamil Nadu,IN,620001,+91 80 6902 8764,"No-9, 3rd Floor, Reynolds Road, Manghalam Towers, near Court bus stop",10.8071479,78.6815567,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJk788Eg31qjsR9ti7usE9z1Q,True
Barbeque Nation - Coimbatore - Fun Mall,4.3,3099,Coimbatore,Tamil Nadu,IN,641004,+91 80 6902 8740,"Avinashi Rd, near PSG Krishnammal College",11.0243915,77.0105797,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Coimbatore%20-%20Fun%20Mall&query_place_id=ChIJuQKYCq5XqDsRdmkL-92LmQo,True
"Barbeque Nation – Vetri Cinemas, Madurai",4.0,249,Madurai,Tamil Nadu,IN,625007,+91 80 6902 8763,"74, 75, 76, Chambakulam, Bus Stand, Ground Floor, TC No. 73, opp. to Mattuthavani",9.9453874,78.1549648,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20%E2%80%93%20Vetri%20Cinemas%2C%20Madurai&query_place_id=ChIJj8Wiji_FADsRIy3ycqnzv4o,True
Barbeque Nation - Erode - Perundurai Road,4.3,5722,Erode,Tamil Nadu,IN,638011,+91 80 6902 8765,"2nd Floor, Veeras Vega, No.68, Perundurai Rd, next to Reliance Mall",11.3341856,77.7059152,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Erode%20-%20Perundurai%20Road&query_place_id=ChIJ59HkqBhvqTsR7ueGXwCrADA,True
"Barbeque Nation - Veera's Avenue, Tiruppur",4.2,3850,Tiruppur,Tamil Nadu,IN,641604,+91 80 6902 8788,"Municipality Office Building, 2nd Floor, Veera’s Avenue, No 24, Above Big Bazaar Valarmathi Bus Stop",11.1024978,77.3472974,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Veera's%20Avenue%2C%20Tiruppur&query_place_id=ChIJ-8vxhrsHqTsRDHZFiERBZ2s,True
Barbeque Nation,4.3,6409,Salem,Tamil Nadu,IN,636016,+91 80 6902 8762,"3rd Floor,Jaykumar Plaza Saradha College, Main, Road",11.677087,78.1411372,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJo81VlUTwqzsRsO2vGK66o6E,True
Barbeque Nation - Thrissur - Selex Mall,4.1,2814,Thrissur,Kerala,IN,680005,+91 80 6405 8006,"2nd Floor Selex Mall, Thrissur - Palghat Rd",10.5225444,76.2247818,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Thrissur%20-%20Selex%20Mall&query_place_id=ChIJ33PbSkvupzsRly-1-cmP-_A,True
Barbeque Nation,4.3,8156,Thiruvananthapuram,Kerala,IN,695008,+91 80 6902 8739,"TC36/1276-3 Airport Road, near Panachamoottil Square, near Bye Pass",8.480339,76.9353374,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJXd8xd3a7BTsRb-fISHrcGME,True
Barbeque Nation,4.1,12087,Doddathoguru,Karnataka,IN,560100,+91 80 6405 8001,"4th Floor, 94, 14th Cross Road, opposite Ajmera Apartment",12.8417276,77.6465724,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJF--jlntrrjsRMuO_g_DGXsA,True
Barbeque Nation- Chromepet,3.9,7711,"Tambaram Sanatorium, Tambaram",Tamil Nadu,IN,600047,+91 80 6902 8724,"1 & 2, 1st Main Rd",12.9401235,80.130946,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation-%20Chromepet&query_place_id=ChIJ_Q6foItfUjoRCr1T1T9xr5o,True
Barbeque Nation,4.4,6010,Ranchi,Jharkhand,IN,834001,+91 80 6902 8767,"No 48, 3rd Floor, Max Building, Circular Rd, next to Pantaloons Store",23.3692309,85.3395348,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJ7SINfoHh9DkR9r_6v4zrIxc,True
Barbeque Nation,4.5,1589,Jamshedpur,Jharkhand,IN,831001,+91 80 6902 6706,N/A,22.7991144,86.1808795,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJm7fENXTj9TkRN41A-HCQEQM,True
Barbeque Nation - Ahmedabad - Prahladnagar,4.4,14642,Ahmedabad,Gujarat,IN,380015,+91 80 6902 8770,"1st Floor, Holiday Inn Express, Prahlad Nagar Rd, beside Venus Atlantis",23.0114705,72.5106463,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Ahmedabad%20-%20Prahladnagar&query_place_id=ChIJfc7qRCibXjkRbLy8ENeGRCA,True
Barbeque Nation - Ahmedabad - Nexus One,4.6,1748,Ahmedabad,Gujarat,IN,380054,+91 80 6902 8770,"3rd Floor, Nexus Ahmedabad One, Plot No. 216, Town Planning Rd, near Vastrapur Lake Road",23.0395887,72.5312105,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Ahmedabad%20-%20Nexus%20One&query_place_id=ChIJBXvefWSbXjkR_oTsmrJI4LM,True
Barbeque Nation- Nexus Amritsar Mall,4.8,2340,"Amritsar, Amritsar Cantt.",Punjab,IN,143006,+91 80 6902 8702,"2nd Floor, Nexus Mall, Unit Number -36, 37",31.6198611,74.907518,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation-%20Nexus%20Amritsar%20Mall&query_place_id=ChIJ9XG3DJl9GTkR_Z1B2N77cRk,True
