outlet_title,average_rating,total_reviews,street_address,city,state,country_code,pincode,phone,category_name,website,google_maps_url,latitude,longitude,placeId,cid,is_active,extracted_at
Barbeque Nation Phoenix Marketcity,3.8,1856.0,"1st floor, Phoenix Marketcity, Whitefield Main Rd",Bengaluru,Karnataka,IN,560048,+91 80 6902 8722,Indian restaurant,http://www.barbequenation.com/,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20Phoenix%20Marketcity&query_place_id=ChIJIxUu-EURrjsRxKpt9f78SvM,12.9977512,77.6964375,ChIJIxUu-EURrjsRxKpt9f78SvM,17531102671462574788,True,2026-07-26 14:26:06
Barbeque Nation - Kalyan Nagar,4.0,11338.0,"BR Plaza, 30, CMR Main Rd",Bengaluru,Karnataka,IN,560043,+91 80 6902 8722,Barbecue restaurant,https://www.barbequenation.com/restaurants/bangalore/kalyan-nagar?utm_source=GMB&utm_medium=kalyannagar&utm_campaign=GMB_kalyannagar,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Kalyan%20Nagar&query_place_id=ChIJsxorwCUXrjsRaTXkIXLIjII,13.0215187,77.6404391,ChIJsxorwCUXrjsRaTXkIXLIjII,9407114114190554473,True,2026-07-26 14:26:06
"Barbeque Nation - Town Hall, Coimbatore",4.3,9708.0,"#1000, Hotel Metro Park Inn, 1000, Raja St",Coimbatore,Tamil Nadu,IN,641001,+91 80 6902 8740,Barbecue restaurant,https://www.barbequenation.com/restaurants/coimbatore/town-hall?utm_source=GMB&utm_medium=coimbatore%2Ftown-hall&utm_campaign=GMB_coimbatore%2Ftown-hall,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Town%20Hall%2C%20Coimbatore&query_place_id=ChIJsSPFhwtZqDsRClmxH55kDXE,10.994333,76.963316,ChIJsSPFhwtZqDsRClmxH55kDXE,8146277931282422026,True,2026-07-26 14:26:06
Barbeque Nation- Yelahanka,4.3,9436.0,"Prestige Plaza, 1st Floor, New Town Main Rd, next to KMF Mother Dairy",Bengaluru,Karnataka,IN,560064,+91 80 6405 8001,Restaurant,https://www.barbequenation.com/restaurants/bangalore/yelahanka?utm_source=GMB&utm_medium=yelahanka&utm_campaign=GMB_yelahanka,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation-%20Yelahanka&query_place_id=ChIJ7xgSLWMYrjsR3uZJjnDTyF0,13.0983675,77.5734496,ChIJ7xgSLWMYrjsR3uZJjnDTyF0,6757883721246435038,True,2026-07-26 14:26:06
Barbeque Nation Marathahalli,4.1,1739.0,"3rd floor, More Mega mall, Outer Ring Rd, near Innovative Multiplex",Bengaluru,Karnataka,IN,560037,+91 80 6405 8001,Barbecue restaurant,https://www.barbequenation.com/,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20Marathahalli&query_place_id=ChIJ9_G0_64VrjsRHHqhcFPBiNY,12.9482032,77.6984963,ChIJ9_G0_64VrjsRHHqhcFPBiNY,15458818285065304604,True,2026-07-26 14:26:06
Barbeque Nation - Kakkanad,4.2,1434.0,"3rd floor, Mather Esperanza, Seaport - Airport Rd","Kochi, Kakkanad",Kerala,IN,682037,+91 80 6902 8706,Barbecue restaurant,https://www.barbequenation.com/,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Kakkanad&query_place_id=ChIJMdVYqQANCDsR9xXNA_CK9IY,9.9996888,76.3495671,ChIJMdVYqQANCDsR9xXNA_CK9IY,9724550258860299767,True,2026-07-26 14:26:06
"Barbeque Nation - Caculo Mall, Panaji",4.3,5247.0,"Shanta Building, 5th Floor, Caculo Mall, 16, 16, St Inez Rd, near Vintage Hospital",Panaji,Goa,IN,403001,+91 80 6902 8746,Barbecue restaurant,https://www.barbequenation.com/restaurants/goa/caculo-mall?utm_source=GMB&utm_medium=goa_caculo_mall&utm_campaign=GMB_goa_caculo_mall,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Caculo%20Mall%2C%20Panaji&query_place_id=ChIJ3TScUevAvzsRytzOAL1tC4U,15.4865957,73.8178498,ChIJ3TScUevAvzsRytzOAL1tC4U,9586876890318036170,True,2026-07-26 14:26:06
Barbeque Nation - Pune - Westend Mall,4.2,1595.0,"Westend Mall, Mahadji Shinde Rd, near Parihar Chowk",Pune,Maharashtra,IN,411067,+91 80 6902 8725,Barbecue restaurant,http://www.barbequenation.com/,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Pune%20-%20Westend%20Mall&query_place_id=ChIJcbaFGTO_wjsRMZs7TfL0SCY,18.5615611,73.8070209,ChIJcbaFGTO_wjsRMZs7TfL0SCY,2758724093279443761,True,2026-07-26 14:26:06
Barbeque Nation - Hebbal,4.1,1449.0,"Unit No.D2, Godrej Woodsman Estate Rmz Azure (It Complex), Bellary Rd, next to Godrej Apartments",Bengaluru,Karnataka,IN,560024,+91 80 6405 8001,Barbecue restaurant,https://www.barbequenation.com/,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Hebbal&query_place_id=ChIJTRYvngsXrjsR19TZa3VhYd0,13.0551947,77.5942807,ChIJTRYvngsXrjsR19TZa3VhYd0,15952138512071513303,True,2026-07-26 14:26:06
Barbeque Nation - Bhartiya Mall of Bengaluru,4.0,1293.0,"1st Floor, Bhartiya City, Thanisandra Main Rd",Bengaluru,Karnataka,IN,560064,+91 80 6405 8001,Barbecue restaurant,https://www.barbequenation.com/,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Bhartiya%20Mall%20of%20Bengaluru&query_place_id=ChIJ5Woqc6wZrjsRllO5cUTnuxw,13.0835239,77.643798,ChIJ5Woqc6wZrjsRllO5cUTnuxw,2070502734858638230,True,2026-07-26 14:26:06
Barbeque Nation,4.3,3667.0,"Ground Floor, Central Cinemas, Laxmindra Nagar, Udupi, Main Rd",Udupi,Karnataka,IN,576104,+91 80 6902 8783,Barbecue restaurant,https://www.barbequenation.com/,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJL8WffaukvDsR2yKT5zqJZ3g,13.3493864,74.7827996,ChIJL8WffaukvDsR2yKT5zqJZ3g,8676054093238837979,True,2026-07-26 14:26:06
Barbeque Nation- Pune - Hinjawadi,4.4,2943.0,"1st Floor, Grand Highstreet Mall, 1 Road",Hinjawadi,Maharashtra,IN,411057,+91 80 6902 8725,Barbecue restaurant,https://www.barbequenation.com/,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation-%20Pune%20-%20Hinjawadi&query_place_id=ChIJ0actGZO7wjsRvcpGc8dcBAs,18.5939187,73.7255158,ChIJ0actGZO7wjsRvcpGc8dcBAs,793861446026316477,True,2026-07-26 14:26:06
Barbeque Nation - Guwahati Udeshna,4.2,1119.0,"4QQX+QC7 Udeshna building, Hari Mandir Path",Guwahati,Assam,IN,781006,+91 80 6902 8750,Barbecue restaurant,https://www.barbequenation.com/restaurants/UDESHNAGUWAHATI,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Guwahati%20Udeshna&query_place_id=ChIJ82NsWaRZWjcRvSIoRmSg2h0,26.1394011,91.7985559,ChIJ82NsWaRZWjcRvSIoRmSg2h0,2151208124557042365,True,2026-07-26 14:26:06
"Barbeque Nation - Sachivalaya Marg, Bhubaneshwar",4.4,13610.0,"NALCO CHOWK, 3RD FLOOR, Triplex Mall, Sachivalaya Marg, MAUZA- SAMANTAPURI GAJAPATI NAGAR, near Gagan Awas Appartment",Bhubaneswar,Odisha,IN,751013,+91 80 6902 8768,Barbecue restaurant,https://www.barbequenation.com/restaurants/bhubaneswar/sachivalaya-marg?utm_source=GMB&utm_medium=bhubaneswar&utm_campaign=GMB_bhubaneswar,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Sachivalaya%20Marg%2C%20Bhubaneshwar&query_place_id=ChIJxedo9LwJGToR7ELyMgJ43Uw,20.3142204,85.8244559,ChIJxedo9LwJGToR7ELyMgJ43Uw,5538715067575583468,True,2026-07-26 14:26:06
"Barbeque Nation- Park Street, Kolkata",4.5,22972.0,"Park Center Garmin (Khadi), 1st Floor,, 24, Park St",Kolkata,West Bengal,IN,700016,+91 80 6902 8723,Barbecue restaurant,https://www.barbequenation.com/restaurants/kolkata/park-street?utm_source=GMB&utm_medium=kolkata_park_street&utm_campaign=GMB_kolkata_park_street,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation-%20Park%20Street%2C%20Kolkata&query_place_id=ChIJb93BuRp3AjoRqdxyBozdusM,22.5510199,88.353816,ChIJb93BuRp3AjoRqdxyBozdusM,14103828776537480361,True,2026-07-26 14:26:06
Barbeque Nation - Behala,4.8,870.0,"1st Floor, opposite M P Birla Foundation Higher Secondary School",Kolkata,West Bengal,IN,700034,+91 80 6902 8723,Restaurant,https://www.barbequenation.com/,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Behala&query_place_id=ChIJ-VdpyJF7AjoR1Ud6WSO5KDI,22.4930693,88.3185562,ChIJ-VdpyJF7AjoR1Ud6WSO5KDI,3614342262441002965,True,2026-07-26 14:26:06
Barbeque Nation - Bilaspur,4.5,2252.0,Magarpara Rd,"Masanganj, Telipara",Chhattisgarh,IN,495001,+91 80 6902 8769,Buffet restaurant,https://www.barbequenation.com/,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Bilaspur&query_place_id=ChIJHfymdLcLKDoRZQMLoNDvyDY,22.078557,82.1503852,ChIJHfymdLcLKDoRZQMLoNDvyDY,3947668752707552101,True,2026-07-26 14:26:06
Barbeque Nation - Vadapalani,3.9,9822.0,"No 1, 2nd Floor, Hotel Bheemas Amman Koil St, Jawaharlal Nehru Salai, near Murugan Temple","Chennai, Greater Chennai",Tamil Nadu,IN,600026,+91 80 6902 8724,Barbecue restaurant,https://www.barbequenation.com/restaurants/chennai/vadapalni?utm_source=GMB&utm_medium=chennai%2Fvadapalni&utm_campaign=GMB_chennai%2Fvadapalni,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Vadapalani&query_place_id=ChIJoxm2LepmUjoR8RHioVGpdFY,13.0525083,80.2123788,ChIJoxm2LepmUjoR8RHioVGpdFY,6229790352633631217,True,2026-07-26 14:26:06
Barbeque Nation- OMR Thoraipakkam,4.1,11826.0,"Ground Floor, Ramaniyam Isha Blk 1,Thoraipakkam, 11, Rajiv Gandhi Salai","Chennai, Greater Chennai",Tamil Nadu,IN,600097,+91 80 6902 8724,Barbecue restaurant,https://www.barbequenation.com/restaurants/chennai/omr?utm_source=GMB&utm_medium=chennai/omr&utm_campaign=GMB_chennai/omr,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation-%20OMR%20Thoraipakkam&query_place_id=ChIJSd8n_P1cUjoRczF_vawgp7I,12.9438704,80.2379882,ChIJSd8n_P1cUjoRczF_vawgp7I,12873293986147545459,True,2026-07-26 14:26:06
Barbeque Nation - Chandan Nagar,4.5,376.0,"Ward No. 10, ACASA building, 3rd Floor, Rash Behari Ave","Chandannagar, Chinsurah",West Bengal,IN,712136,+91 80 6902 8721,Restaurant,https://www.barbequenation.com/,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Chandan%20Nagar&query_place_id=ChIJFwjACtWR-DkRDLuJ9Fl7vIU,22.8644164,88.365354,ChIJFwjACtWR-DkRDLuJ9Fl7vIU,9636712928950991628,True,2026-07-26 14:26:06
"Barbeque Nation- Salt Lake, Kolkata",4.5,16523.0,"RDB Boulevard, K-1, Street Number 25",Kolkata,West Bengal,IN,700091,+91 80 6902 8723,Barbecue restaurant,https://www.barbequenation.com/restaurants/kolkata/salt-lake-sec-5?utm_source=GMB&utm_medium=kolkata_salt_lake&utm_campaign=GMB_kolkata_salt_lake,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation-%20Salt%20Lake%2C%20Kolkata&query_place_id=ChIJIRC6w611AjoRyNBbBqrcvA4,22.5690352,88.4331475,ChIJIRC6w611AjoRyNBbBqrcvA4,1061966234961825992,True,2026-07-26 14:26:06
Barbeque Nation,4.4,8553.0,"Unit SFPH 02 - 03, Great Eastern Rd","Labhandih, Raipur",Chhattisgarh,IN,492001,+91 80 6902 8786,Barbecue restaurant,,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJ6TDQyDbdKDoR5jLxhAPrPAA,21.2406207,81.684218,ChIJ6TDQyDbdKDoR5jLxhAPrPAA,17146898950468326,True,2026-07-26 14:26:06
Barbeque Nation,4.5,11752.0,"2nd Floor, Adityam Building, GS Rd",Guwahati,Assam,IN,781007,+91 80 6902 8750,Barbecue restaurant,https://www.barbequenation.com/restaurants/assam/lachit-nagar?utm_source=GMB&utm_medium=assam%2Flachit-nagar&utm_campaign=GMB_assam_lachit_nagar,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJ7YPZ6oJZWjcRb5nYTnJ4Wsw,26.17233,91.7599133,ChIJ7YPZ6oJZWjcRb5nYTnJ4Wsw,14725214363985680751,True,2026-07-26 14:26:06
Barbeque Nation Sodepur,4.3,1115.0,,Khardaha,West Bengal,IN,700114,+91 80 6902 8723,Barbecue restaurant,https://www.barbequenation.com/restaurants/Kolkata%20Onex%20Centre%20Sodepur,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20Sodepur&query_place_id=ChIJA3pQlU6d-DkRpIxVyHATSlo,22.7013927,88.3744979,ChIJA3pQlU6d-DkRpIxVyHATSlo,6506033986808417444,True,2026-07-26 14:26:06
Barbeque Nation - Durgapur,4.5,6078.0,"First floor, Pushpanjali Building, Shahid Khudiram Sarani",Durgapur,West Bengal,IN,713216,+91 80 6902 8735,North Indian restaurant,https://www.barbequenation.com/restaurants/durgapur/durgapur?utm_source=GMB&utm_medium=durgapur&utm_campaign=GMB_durgapur,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Durgapur&query_place_id=ChIJU_1Dqr1z9zkRtEubBng5E08,23.5383091,87.2938036,ChIJU_1Dqr1z9zkRtEubBng5E08,5697961141223508916,True,2026-07-26 14:26:06
Barbeque Nation-Rajarhat,4.5,3204.0,,,West Bengal,IN,700136,+91 80 6902 8723,Barbecue restaurant,https://www.barbequenation.com/restaurants/kolkata/rajarhat?utm_source=GMB&utm_medium=kolkata_rajarhat&utm_campaign=GMB_kolkata_rajarhat,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation-Rajarhat&query_place_id=ChIJt6OEQyOf-DkR_Jx3jwHUITg,22.623189,88.4504015,ChIJt6OEQyOf-DkR_Jx3jwHUITg,4044747043522452732,True,2026-07-26 14:26:06
Barbeque Nation - Kolkata - Acropolis Mall,4.5,1118.0,"Acropolis Mall, 1858/1",Kolkata,West Bengal,IN,700107,+91 80 6902 8723,Barbecue restaurant,http://www.barbequenation.com/,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Kolkata%20-%20Acropolis%20Mall&query_place_id=ChIJ2R3KaI9zAjoR7qPbfF1nSFo,22.5152494,88.3932272,ChIJ2R3KaI9zAjoR7qPbfF1nSFo,6505563312961070062,True,2026-07-26 14:26:06
