record_id,promotion_id,title,category,posted_date,description,image_url,source_url,scraped_at
11,3122,Barbeque Nation hits the sweet spot - serves nostalgia with the iconic Melody-inspired dessert,Discount & Offer,2026-05-23,"A pineapple pastry topped with Melody toffee, available only this weekend at select outlets Melody, the chocolate toffee that has been a part of India's collective sweet memory for decades, is now making its way to the Barbeque Nation dessert counter. This weekend, the brand is celebrating one of India's most beloved treats with a delicious limited-edition creation. This weekend, Barbeque Nation i",https://api.barbequenation.com/sites/default/files/2026-05/1440x768%20Website%20News.png,https://api.barbequenation.com/news/barbeque-nation-hits-sweet-spot-serves-nostalgia-iconic-melody-inspired-dessert,2026-07-30T07:46:41.718Z
12,3124,Nizam-E-Dastarkhwan by Kenneth Gopinath – Royal Hyderabadi Flavours at Barbeque Nation,Chef Special / Festival,2026-05-19,"Step into the royal kitchens of Hyderabad with Nizam-E-Dastarkhwan, an exclusive culinary showcase by Kenneth Gopinath, the youngest contestant from MasterChef India 2023, at Barbeque Nation Vibes. Celebrate the rich heritage of Hyderabadi cuisine with aromatic biryanis, authentic Nawabi delicacies, smoky kebabs, bold spices, and royal flavours crafted to perfection. This limited-time food festiva",https://api.barbequenation.com/sites/default/files/2026-05/Chef%20Popup%20%40%20BLR_Other%20Adpts_1440X768.jpg,https://api.barbequenation.com/news/nizam-e-dastarkhwan-kenneth-gopinath-royal-hyderabadi-flavours-barbeque-nation,2026-07-30T07:46:41.718Z
13,3125,Punjab Beyond Borders by Chef Anshmeet Singh – A Grand Punjabi Food Festival at Barbeque Nation,Chef Special / Festival,2026-05-17,"Experience the vibrant flavours of undivided Punjab with Punjab Beyond Borders, an exclusive culinary festival by Chef Anshmeet Singh, MasterChef Jodi India Season 1 finalist, at Barbeque Nation Vibes. Indulge in authentic Punjabi delicacies, smoky tandoori grills, rich curries, flavour-packed kebabs, and traditional recipes inspired by the heart of Punjab. From iconic street-style favourites to r",https://api.barbequenation.com/sites/default/files/2026-05/Punjab%20BB%20Chef%20PopUp_other%20Adpts_1440X768.jpg,https://api.barbequenation.com/news/punjab-beyond-borders-chef-anshmeet-singh-grand-punjabi-food-festival-barbeque-nation,2026-07-30T07:46:41.718Z
14,3113,Barbeque Nation Celebrates the Foodie in Every Mom,Chef Special / Festival,2026-05-09,"We often celebrate mothers for the meals they lovingly prepare, but rarely talk about their own love for food. Our latest digital film turns the spotlight on a side of mothers we often overlook — their unapologetic love for food. Released around Mother's Day, the film is a heartfelt and relatable tribute to moms who embrace food with childlike excitement and joy. The film showcases a mother at Bar",https://api.barbequenation.com/sites/default/files/2026-05/Websit%20Banner_Mother%20day_1440X768_Mother%27s%20day.jpg,https://api.barbequenation.com/news/barbeque-nation-celebrates-foodie-every-mom,2026-07-30T07:46:41.718Z
15,3050,Mirchi Mexicano by Chef Kanak Khathuria – A Bold Culinary Pop-Up at Barbeque Nation,Chef Special / Festival,2026-05-05,"Get ready for a fiery fusion like never before as Barbeque Nation brings you Mirchi Mexicano—an exclusive chef pop-up curated by renowned culinary expert Kanak Khathuria, celebrated for her innovative take on global flavors and her journey on MasterChef India. Experience the perfect blend of Hyderabadi spice and Mexican zest, where bold flavors, smoky grills, and vibrant ingredients come together ",https://api.barbequenation.com/sites/default/files/2026-05/Mirchi%20Mexicano_OtherAdapts_1440.jpg,https://api.barbequenation.com/news/mirchi-mexicano-chef-kanak-khathuria-bold-culinary-pop-barbeque-nation,2026-07-30T07:46:41.718Z
16,3036,Malabar & Beyond by Chef Mohammed Ashiq: A Coastal Culinary Journey at Barbeque Nation,Chef Special / Festival,2026-04-25,"Barbeque Nation presents Malabar & Beyond, an exclusive chef-curated pop-up celebrating the vibrant and diverse flavours of India’s coastal cuisine, crafted by Chef Mohammed Ashiq, MasterChef India Season 8 Winner (2023). Inspired by the rich culinary traditions of the Malabar region and beyond, this limited-time food festival brings together authentic coastal recipes, bold spices, and time-honour",https://api.barbequenation.com/sites/default/files/2026-04/Malabar-Chef-Pop-Up-Website-1440-x-768_0.jpg,https://api.barbequenation.com/news/malabar-beyond-chef-mohammed-ashiq-coastal-culinary-journey-barbeque-nation,2026-07-30T07:46:41.718Z
17,3037,Konkan Spice Table by Chef Shraddha Palande: Discover Coastal Maharashtrian Flavours at Barbeque Nation,Chef Special / Festival,2026-04-23,"Barbeque Nation brings you Konkan Spice Table, a special chef-curated pop-up that celebrates the vibrant flavours of Maharashtrian coastal cuisine, crafted by Chef Shraddha Palande (TIMES Power Food Creator, 2026). Inspired by the culinary heritage of the Konkan region, this limited-time experience showcases a blend of traditional recipes and modern flair. Chef Shraddha presents a thoughtfully cur",https://api.barbequenation.com/sites/default/files/2026-04/Chef%20popup_Pune_OtherAdapts_1440.jpg,https://api.barbequenation.com/news/konkan-spice-table-chef-shraddha-palande-discover-coastal-maharashtrian-flavours-barbeque,2026-07-30T07:46:41.718Z
18,3035,Marabu Manam by Chef Selva Sunitha: A Celebration of Reimagined South Asian Flavours at Barbeque Nation,Chef Special / Festival,2026-04-20,"Barbeque Nation presents Marabu Manam, an exclusive chef-curated pop-up celebrating the richness and diversity of South Asian cuisine, crafted by the talented Chef Selva Sunitha, MasterChef India Top 7. Rooted in tradition yet inspired by modern culinary techniques, this limited-time food festival brings together authentic regional flavours with a contemporary twist. Drawing from the depth of Sout",https://api.barbequenation.com/sites/default/files/2026-04/Chef%20popup_Marabu%20Manam_OtherAdapts_1440.jpg,https://api.barbequenation.com/news/marabu-manam-chef-selva-sunitha-celebration-reimagined-south-asian-flavours-barbeque-nation,2026-07-30T07:46:41.718Z
19,3038,Barbeque Nation Wins ‘Barbeque Restaurant of the Year’ at Restaurant Awards 2026 – Karnataka Edition,Discount & Offer,2026-04-18,"Barbeque Nation proudly celebrates a remarkable milestone, having been awarded the prestigious “Barbeque Restaurant of the Year” at the Restaurant Awards 2026 – Karnataka Edition. Recognized as one of India’s most respected platforms in the food and beverage industry, the Restaurant Awards honour excellence, innovation, and consistency among the country’s top dining brands. This accolade is a test",https://api.barbequenation.com/sites/default/files/2026-04/Best%20Restaurant%20Banners-01.jpg.jpeg,https://api.barbequenation.com/news/barbeque-nation-wins-barbeque-restaurant-year-restaurant-awards-2026-karnataka-edition,2026-07-30T07:46:41.718Z
20,3018,"Barbeque Nation Launches Its First Restaurant in Chandan Nagar at Acasa Building, Station Road",Discount & Offer,2026-04-03,"Barbeque Nation, one of India’s leading casual dining chains and pioneers of the live grill concept, has expanded its presence with the launch of its first outlet in Chandan Nagar at Acasa Building, Station Road. The newly opened restaurant offers Barbeque Nation’s signature live grill-on-the-table experience, featuring a wide array of vegetarian and non-vegetarian starters, indulgent main courses",https://api.barbequenation.com/sites/default/files/2026-04/BBQ_NSO%20Emailer_Chandan%20nagar_1440X768.jpg,https://api.barbequenation.com/news/barbeque-nation-launches-its-first-restaurant-chandan-nagar-acasa-building-station-road,2026-07-30T07:46:41.718Z
21,3017,Barbeque Nation Launches Its First Restaurant in Malda at PRM Centre Point Mall,Discount & Offer,2026-04-02,"Barbeque Nation, one of India’s leading casual dining restaurant chains and pioneers of the live grill concept, has expanded its footprint with the launch of its first outlet in Malda at PRM Centre Point Mall. The newly opened restaurant brings Barbeque Nation’s signature live-on-the-table grill experience to the city, offering an extensive spread of vegetarian and non-vegetarian delicacies, inclu",https://api.barbequenation.com/sites/default/files/2026-04/BBQ_NSO%20Emailer_Apr_WB-MALDA_1440X768.jpg,https://api.barbequenation.com/news/barbeque-nation-launches-its-first-restaurant-malda-prm-centre-point-mall,2026-07-30T07:46:41.718Z
22,2901,Shahi Zaika by Chef Yashita: A Royal Mughlai Feast at Barbeque Nation,Chef Special / Festival,2026-04-02,"Barbeque Nation presents Shahi Zaika, an exclusive chef-curated pop-up celebrating the richness and legacy of Mughlai cuisine, crafted by the talented Chef Yashita Agarwal. Rooted in the timeless flavours of Old Delhi, this limited-time culinary experience brings together indulgent recipes, aromatic spices, and royal cooking traditions that once defined grand feasts of the Mughal era. Guests can s",https://api.barbequenation.com/sites/default/files/2026-04/Chef%20Popup%20%40Ahmedabad_Other%20Adpts_1440X768.jpg,https://api.barbequenation.com/news/shahi-zaika-chef-yashita-royal-mughlai-feast-barbeque-nation,2026-07-30T07:46:41.718Z
23,3120,"Barbeque Nation Launches Its 3rd Restaurant in Malaysia at NU Sentral Mall, Kuala Lumpur",Discount & Offer,2026-04-01,"Barbeque Nation, one of India’s leading casual dining restaurant chains and pioneers of the live grill concept, has expanded its international footprint with the launch of its 3rd outlet in Malaysia at NU Sentral Mall, Kuala Lumpur. The newly launched restaurant brings Barbeque Nation’s signature live-on-the-table grill experience to the city, offering an extensive spread of vegetarian and non-veg",https://api.barbequenation.com/sites/default/files/2026-05/BBQ_NSO%20Artical%20Emailer_Malaysia_1440X768.jpg,https://api.barbequenation.com/news/barbeque-nation-launches-its-3rd-restaurant-malaysia-nu-sentral-mall-kuala-lumpur,2026-07-30T07:46:41.718Z
24,2894,Riwaayat-e-Kashmir by Chef Rajni Jinsi: A Journey Through Kashmiri Pandit Traditions at Barbeque Nation,Chef Special / Festival,2026-02-22,"Barbeque Nation presents Riwaayat-e-Kashmir, an exclusive chef-curated pop-up celebrating the rich culinary heritage of Kashmiri Pandit cuisine and the timeless traditions of Wazwan. Curated by Chef Rajni Jinsi, this limited-time festival brings together authentic recipes, delicate flavours, and a deeply rooted cultural legacy in a thoughtfully crafted buffet experience. Inspired by the valley’s t",https://api.barbequenation.com/sites/default/files/2026-03/1440pixel%20x%20768pixel%20Riwaayat-e-Kashmir%20%281%29.jpg,https://api.barbequenation.com/news/riwaayat-e-kashmir-chef-rajni-jinsi-journey-through-kashmiri-pandit-traditions-barbeque-nation,2026-07-30T07:46:41.718Z
25,2822,The Royal Bengal Table by Chef Suraj Thapa: Stories of Bengal’s Rajbaris at Barbeque Nation,Chef Special / Festival,2026-02-22,"Barbeque Nation presents The Royal Bengal Table, an exclusive chef pop-up celebrating the grandeur and culinary legacy of Bengal’s iconic Rajbaris. Curated by Chef Suraj Thapa, MasterChef India Season 8 – 3rd Runner-Up, this limited-time festival brings the richness of traditional Bengali cuisine to life in a regal buffet experience. Inspired by the lavish feasts once served in royal households, t",https://api.barbequenation.com/sites/default/files/2026-02/Kolkata%20Feast%20-%201440.jpg,https://api.barbequenation.com/news/royal-bengal-table-chef-suraj-thapa-stories-bengals-rajbaris-barbeque-nation,2026-07-30T07:46:41.718Z
26,2819,Theeyil Thamizhan: From Madras to the Grill at Barbeque Nation,Chef Special / Festival,2026-02-17,"Barbeque Nation is turning up the heat with Theeyil Thamizhan – From Madras to the Grill, an exclusive chef pop-up celebrating the bold, soulful flavours of Tamil cuisine. Led by Chef Praveen Kumar, MasterChef India Tamil Top 6, this limited-time culinary showcase brings regional favourites and time-honoured recipes straight from the heart of Tamil Nadu to your table. The specially curated menu bl",https://api.barbequenation.com/sites/default/files/2026-02/Tamil%20Cuisine%20Pop%20Up_1440X768.jpg,https://api.barbequenation.com/news/theeyil-thamizhan-madras-grill-barbeque-nation,2026-07-30T07:46:41.718Z
27,2789,Good food brings people closer,Brand Event / Promotion,2026-02-17,"Our second film in the campaign Milne Ki Bhookh captures this truth through one of the simplest joys at the table – kulfi. A melt-in-your-mouth kulfi shows up at the table, conversations slow down, smiles last longer, and hearts grow fonder. What starts as dessert quietly turns into the reason no one’s in a hurry to leave. In today’s fast-paced lives, it’s often food that gives us an excuse to pau",https://api.barbequenation.com/sites/default/files/2026-02/Kulfi%20Friends_1440X768px.jpg,https://api.barbequenation.com/news/good-food-brings-people-closer,2026-07-30T07:46:41.718Z
28,2895,The Dakshin Express by Chef Rohit Ghosh: A Journey Between Rasam & Roast at Barbeque Nation,Chef Special / Festival,2026-02-12,"Barbeque Nation presents The Dakshin Express, an exclusive chef pop-up celebrating the vibrant and diverse flavours of South India. Curated by Chef Rohit Ghosh, this limited-time culinary experience brings together the essence of Dakshin cuisine — where comforting spices meet bold, coastal roasts — in a thoughtfully crafted buffet spread. Inspired by the rich food culture spanning Tamil Nadu, Kera",https://api.barbequenation.com/sites/default/files/2026-03/e51a61b8-6a33-4ee4-b3b9-1d59f2a5fd73%20%281%29.jpg,https://api.barbequenation.com/news/dakshin-express-chef-rohit-ghosh-journey-between-rasam-roast-barbeque-nation,2026-07-30T07:46:41.718Z
29,2739,From Haat to Thaali by Chef Arati Thapa: Stories from the Himalayan Kitchen at Barbeque Nation,Chef Special / Festival,2026-02-06,"Barbeque Nation presents From Haat to Thaali, an exclusive chef-curated pop-up celebrating the rich culinary traditions of the Himalayan region. Crafted by Chef Arati Thapa, founder of Boju’s Kitchen, this limited-time festival brings authentic mountain flavours to life through a thoughtfully curated buffet experience. Inspired by the vibrant local haats and homestyle kitchens of the Himalayas, th",https://api.barbequenation.com/sites/default/files/2026-02/1440pixel%20x%20768pixel%203P.jpg,https://api.barbequenation.com/news/haat-thaali-chef-arati-thapa-stories-himalayan-kitchen-barbeque-nation,2026-07-30T07:46:41.718Z
30,2673,Nafasat-e-Awadh: A Royal Culinary Journey Comes Alive at Barbeque Nation,Chef Special / Festival,2026-01-22,"Barbeque Nation is bringing the timeless elegance of Awadhi cuisine to life with Nafasat-e-Awadh, a special food festival that is celebrating slow-cooked flavours, royal recipes, and soulful aromas. From 23rd to 27th January, guests are experiencing the richness of Awadh at Barbeque Nation, Time Square, Sakinaka, Mumbai. This exclusive festival is honouring the philosophy of patience and precision",https://api.barbequenation.com/sites/default/files/2026-01/1440pixle%20X%20768pixel%20Awadhi%20Food%20Festival%20Article_0.jpg,https://api.barbequenation.com/news/nafasat-e-awadh-royal-culinary-journey-comes-alive-barbeque-nation,2026-07-30T07:46:41.718Z
31,2679,Barbeque Nation Hyderabad Wins ‘Barbeque Restaurant of the Year’ at Restaurant Awards 2026,Brand Event / Promotion,2026-01-20,"Barbeque Nation is proud to announce a remarkable milestone—winning the prestigious ‘Barbeque Restaurant of the Year’ award at the Restaurant Awards 2026 (Telangana & Andhra Pradesh Edition). This honour was conferred at a grand ceremony held at Hotel Trident, Hyderabad, recognising Barbeque Nation Hyderabad for its unwavering commitment to culinary excellence, innovative dining experiences, and c",https://api.barbequenation.com/sites/default/files/2026-01/SWE09178.jpg,https://api.barbequenation.com/news/barbeque-nation-hyderabad-wins-barbeque-restaurant-year-restaurant-awards-2026,2026-07-30T07:46:41.718Z
32,2660,Odia Trails at Barbeque Nation – A Culinary Journey Through Odisha,Chef Special / Festival,2026-01-20,"Barbeque Nation, Marathahalli is bringing the soulful flavours of Odisha to Bengaluru with Odia Trails, a specially curated food festival that is taking guests on a vibrant culinary journey. Running from 21st to 25th January, this limited-time celebration is showcasing the rich food traditions of Odisha through authentic recipes and regional specialties. Curated by Chef Abinas Nayak, MasterChef In",https://api.barbequenation.com/sites/default/files/2026-01/1440pixel%20x%20768pixel%20Odia%20trails%20Bengaluru%20Article.jpg,https://api.barbequenation.com/news/odia-trails-barbeque-nation-culinary-journey-through-odisha,2026-07-30T07:46:41.718Z
33,2596,Barbeque Nation launches New Year campaign ‘Milne Ki Bhookh’ celebrating togetherness over food,Brand Event / Promotion,2026-01-13,"This New Year, at Barbeque Nation, we’re launching a campaign that feels deeply personal to us, “Milne Ki Bhookh.” Every day, we see that while we’re constantly connected, real connections are becoming rare. Friends meet less, families sit together less, and moments slip by unnoticed. Yet, when people choose to dine out, something changes. Conversations begin, laughter returns, and time slows down",https://api.barbequenation.com/sites/default/files/2026-01/Milne%20Ki%20Bhookh_Final_1440X768px.jpg,https://api.barbequenation.com/news/barbeque-nation-launches-new-year-campaign-milne-ki-bhookh-celebrating-togetherness-over-food,2026-07-30T07:46:41.718Z
34,2661,Zaika-e-Purani Dilli at Barbeque Nation | A Culinary Journey Through Purani Delhi,Chef Special / Festival,2026-01-12,"Barbeque Nation, Regal Building is bringing alive the timeless flavours of Old Delhi with Zaika-e-Purani Dilli, a specially curated food festival that is celebrating the rich culinary heritage of Mughlai cuisine. Taking place from 13th to 19th January, this limited-period festival is transporting guests to the bustling lanes of Purani Dilli through authentic flavours and aromas. Curated by Chef Pu",https://api.barbequenation.com/sites/default/files/2026-01/Zaika-e-Purani%20Dilli%20Pop%20Up%20Adapts-1.jpg,https://api.barbequenation.com/news/zaika-e-purani-dilli-barbeque-nation-culinary-journey-through-purani-delhi,2026-07-30T07:46:41.718Z
35,2488,"Barbeque Nation Presents The Himalayan Rasoiya, A Curated Uttarakhandi Chef Pop Up by Chef Yojana Khanduri",Chef Special / Festival,2025-12-18,"Barbeque Nation is celebrating the soulful flavours of the Himalayas with The Himalayan Rasoiya, a limited-time chef pop-up in Pune curated by Chef Yojana Khanduri, founder of the concept and a native of Uttarakhand. Rooted in tradition and inspired by generations-old recipes, the pop-up offers an authentic introduction to Uttarakhandi cuisine—known for its simplicity, use of local produce, and de",https://api.barbequenation.com/sites/default/files/2025-12/1440px%20X%20768px%20KV.jpg,https://api.barbequenation.com/news/barbeque-nation-presents-himalayan-rasoiya-curated-uttarakhandi-chef-pop-chef-yojana-khanduri,2026-07-30T07:46:41.718Z
36,2418,Dakshin – Flavours Reimagined by MasterChef Kenneth Gopinath,Chef Special / Festival,2025-12-09,"Barbeque Nation is celebrating the vibrant spirit of South Indian cuisine with Dakshin – Flavours Reimagined, an exclusive culinary showcase crafted by MasterChef India’s youngest semi-finalist, Kenneth Gopinath. This special pop-up redefines traditional South Indian flavours with a fresh, modern twist—bringing together heritage, innovation, and the chef’s signature creative flair. From comforting",https://api.barbequenation.com/sites/default/files/2025-12/1440%20X%20768%20Pixels%20Bangalore%20new.jpg,https://api.barbequenation.com/news/dakshin-flavours-reimagined-masterchef-kenneth-gopinath,2026-07-30T07:46:41.718Z
37,2417,Odia Trails: A Journey Through Odisha’s Seasons Crafted by MasterChef Abinas Nayak,Chef Special / Festival,2025-12-07,"Get ready for an extraordinary culinary experience as Barbeque Nation brings Odia Trails to Mumbai! From 8th–14th December, the Atria Mall, Worli outlet will host an exclusive pop-up curated by Chef Abinas Nayak, MasterChef India Season 6 Winner. Embark on a flavorful journey through Odisha’s vibrant seasons and streets, as Chef Abinas recreates traditional delicacies with his signature modern tou",https://api.barbequenation.com/sites/default/files/2025-12/1440px%20X%20768px%20Odia%20Feast.jpg,https://api.barbequenation.com/news/odia-trails-journey-through-odishas-seasons-crafted-masterchef-abinas-nayak,2026-07-30T07:46:41.718Z
38,2419,Awadhi Viraasat: A Feast of Forgotten Flavours at Barbeque Nation,Chef Special / Festival,2025-12-02,"Barbeque Nation presents Awadhi Viraasat, a heartfelt celebration of the timeless culinary heritage of Awadh. Renowned for its refined techniques, delicate flavours, and royal legacy, Awadhi cuisine continues to be one of India’s most treasured culinary traditions. From 3rd to 7th December, guests in Lucknow can indulge in this exclusive experience at Barbeque Nation, Lulu Mall. Curated by Chef Ri",https://api.barbequenation.com/sites/default/files/2025-12/1440%20X%20768%20New%20Lucknow%20Popup.jpg,https://api.barbequenation.com/news/awadhi-viraasat-feast-forgotten-flavours-barbeque-nation,2026-07-30T07:46:41.718Z
39,2330,Barbeque Nation Gurugram Unveils a Lucknowi Dastarkhwan with Chef Gul Ali's Exclusive Pop-Up,Chef Special / Festival,2025-11-17,"Get ready for a culinary journey as Barbeque Nation brings the legendary flavors of Lucknow to Gurugram! From 24th–30th November, the Ambience Mall outlet will host the exclusive Lucknowi Dastarkhwan Pop-Up featuring award-winning Chef Gul Ali of Gul’s Kitchen. Enjoy authentic Lucknowi dishes perfected over 12 years of Dum Pukht mastery—right in your city. Experience live Galouti kebab stations, M",https://api.barbequenation.com/sites/default/files/2025-11/1440px%20X%20768px%20Lucknow.jpg,https://api.barbequenation.com/news/barbeque-nation-gurugram-unveils-lucknowi-dastarkhwan-chef-gul-alis-exclusive-pop,2026-07-30T07:46:41.718Z
40,2287,"Barbeque Nation, Delhi Celebrates ‘Flavours of Nepal: From Terai to Himal’ — an Exclusive Nepali Food Festival Curated by Chef Basant Rana",Chef Special / Festival,2025-11-09,"Barbeque Nation is celebrating the rich culinary heritage of Nepal with its exclusive food festival — “Flavours of Nepal: From Terai to Himal”, curated by Chef Basant Rana. From 10th to 16th November 2025, guests at the Southern Park Mall, Saket, New Delhi outlet can indulge in a vibrant spread that captures the essence of Nepal’s diverse regions and traditions. This special menu brings together t",https://api.barbequenation.com/sites/default/files/2025-11/Oct%20fest_Website%20Banners_Nepal%20food%20popup-03.jpg,https://api.barbequenation.com/news/barbeque-nation-delhi-celebrates-flavours-nepal-terai-himal-exclusive-nepali-food-festival,2026-07-30T07:46:41.718Z
